,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
94071,29-Sep-21,19:40:00,5,8,5,3,15,5,2,2,4,5,10,0,3,3,1,4,3,4,14,8,10,8,3,9,7,14,3,0,9,2,11,6
94081,29-Sep-21,19:50:00,6,5,6,0,17,3,3,1,6,5,5,5,10,6,7,7,4,6,13,7,6,4,2,4,9,7,9,5,4,2,13,7
94091,29-Sep-21,20:00:00,8,4,4,2,13,9,16,2,15,14,4,4,2,1,8,6,7,6,3,7,10,0,5,6,10,18,6,2,2,6,10,8
94101,29-Sep-21,20:10:00,9,3,9,8,12,0,5,2,10,7,3,5,5,10,2,5,4,0,11,8,12,2,5,4,4,5,4,2,6,2,25,6
94111,29-Sep-21,20:20:00,9,1,4,5,13,8,4,2,19,12,11,1,1,4,0,10,5,3,13,9,16,0,5,2,9,11,11,1,7,6,12,9
94121,29-Sep-21,20:30:00,6,4,4,6,13,3,8,8,7,8,6,5,5,5,3,7,4,27,11,9,6,3,4,9,8,13,6,7,9,2,23,6
94131,29-Sep-21,20:40:00,10,10,4,1,12,6,4,5,7,6,5,5,1,7,1,3,6,12,15,12,15,5,3,8,7,5,3,13,4,2,13,15
94141,29-Sep-21,20:50:00,6,5,3,10,12,2,5,0,16,13,5,1,2,7,6,11,6,3,10,16,12,0,19,3,10,8,5,4,8,9,14,5
94151,29-Sep-21,21:00:00,6,1,3,8,9,7,1,8,8,6,6,3,4,4,3,7,5,0,38,14,14,0,9,2,2,14,6,2,4,6,14,10
94161,29-Sep-21,21:10:00,5,6,9,7,25,21,9,4,14,10,15,4,1,6,5,7,5,12,12,6,11,0,0,6,0,19,9,7,6,22,9,7
94171,29-Sep-21,21:20:00,7,3,6,0,13,10,1,3,8,15,6,8,3,7,0,6,3,0,14,8,9,5,2,4,0,9,6,6,6,10,19,6
94181,29-Sep-21,21:30:00,6,2,0,9,19,7,4,3,9,8,12,6,9,6,8,16,2,0,2,10,12,2,2,9,11,13,4,4,4,6,15,9
94191,29-Sep-21,21:40:00,6,4,4,12,12,4,3,6,10,6,7,6,4,7,0,5,7,21,24,5,8,0,3,14,2,11,8,6,3,9,13,12
94201,29-Sep-21,21:50:00,21,6,6,2,12,10,8,1,10,7,16,5,1,10,0,6,11,7,18,16,6,2,2,8,5,17,6,6,5,1,16,13
94211,29-Sep-21,22:00:00,8,1,6,7,7,14,0,2,11,7,15,3,1,8,4,8,7,15,13,4,9,1,4,1,5,9,4,4,3,3,19,12
94221,29-Sep-21,22:10:00,6,3,4,4,13,13,4,6,10,10,25,2,8,2,0,12,3,3,11,11,9,0,2,8,5,9,7,5,6,3,13,6
94231,29-Sep-21,22:20:00,8,8,14,2,12,20,3,7,16,8,30,2,4,7,6,10,11,6,14,10,14,5,3,9,2,9,12,4,7,7,23,9
94241,29-Sep-21,22:30:00,5,2,4,14,16,22,2,4,5,11,17,3,27,9,2,6,8,0,19,8,11,3,8,0,4,13,3,3,6,6,19,8
94251,29-Sep-21,22:40:00,7,2,3,16,16,16,2,9,6,15,49,9,10,7,3,11,25,4,13,6,14,0,2,13,14,24,0,4,5,10,17,15
94261,29-Sep-21,22:50:00,10,1,9,14,14,8,3,11,18,18,51,7,13,4,0,6,12,2,14,25,11,13,11,5,0,11,1,4,16,7,19,15
94271,29-Sep-21,23:00:00,5,10,2,10,18,13,3,11,13,16,49,5,31,5,2,9,12,4,26,13,12,3,8,2,0,20,3,4,14,4,15,17
94281,29-Sep-21,23:10:00,12,5,6,21,16,16,4,22,15,16,34,4,15,10,0,5,14,8,19,13,12,8,5,4,13,15,6,5,16,10,22,21
94291,29-Sep-21,23:20:00,5,2,13,15,16,31,7,30,13,6,40,8,19,9,0,11,15,3,17,11,10,6,12,7,0,40,0,3,12,7,19,17
94301,29-Sep-21,23:30:00,7,5,2,2,24,27,7,46,10,12,46,8,17,7,8,11,62,5,18,19,8,7,10,2,4,28,2,9,11,3,18,25
94311,29-Sep-21,23:40:00,14,8,3,17,28,22,15,71,14,4,48,7,18,2,0,24,26,5,46,27,12,5,12,21,0,20,2,1,11,14,29,38
94321,29-Sep-21,23:50:00,24,9,9,20,45,37,39,83,26,9,47,14,51,10,4,36,38,5,40,41,27,6,19,45,5,39,0,10,61,37,46,54
94331,30-Sep-21,0:00:00,28,4,0,27,54,14,43,88,30,14,51,29,55,3,2,39,45,6,40,59,43,0,34,47,0,36,11,11,19,18,71,43
94341,30-Sep-21,0:10:00,12,4,5,8,42,9,50,70,20,7,29,19,52,11,6,35,36,13,26,23,20,0,26,55,0,36,2,4,0,0,39,33
94351,30-Sep-21,0:20:00,11,2,4,12,34,12,45,38,25,8,4,9,30,2,0,38,18,11,28,22,16,0,18,62,0,47,0,4,3,0,24,31
94361,30-Sep-21,0:30:00,7,9,2,12,44,8,22,21,27,4,5,16,17,0,1,37,28,18,32,14,22,0,8,49,0,31,2,4,0,2,36,31
94371,30-Sep-21,0:40:00,9,6,0,6,34,8,28,14,39,9,4,6,20,0,2,40,11,8,29,20,35,0,4,48,0,25,3,0,0,0,42,18
94381,30-Sep-21,0:50:00,7,3,8,11,40,13,26,14,29,3,0,21,9,3,3,48,5,9,37,12,38,0,9,51,0,23,0,2,0,4,37,51
94391,30-Sep-21,1:00:00,9,5,2,16,28,16,28,20,24,5,0,13,6,1,0,41,10,14,15,22,21,0,4,38,0,28,2,1,0,5,32,33
94401,30-Sep-21,1:10:00,7,2,0,11,38,10,40,9,43,0,7,13,10,4,0,38,13,10,19,20,19,0,12,43,0,22,0,7,0,13,33,25
94411,30-Sep-21,1:20:00,3,7,0,12,38,6,22,13,27,9,6,10,11,4,1,34,16,15,22,28,22,0,26,33,1,24,3,3,0,21,38,40
94421,30-Sep-21,1:30:00,8,2,0,9,40,14,20,6,35,9,0,9,19,2,0,30,11,7,35,30,30,0,7,49,0,15,3,8,0,2,34,46
94431,30-Sep-21,1:40:00,11,8,0,23,36,6,11,12,34,4,4,15,4,0,3,44,6,2,25,11,10,0,14,43,0,26,2,5,0,0,27,26
94441,30-Sep-21,1:50:00,19,0,1,7,29,11,24,7,31,9,9,9,4,8,0,36,1,13,13,21,19,0,12,33,0,41,2,1,0,10,26,37
94451,30-Sep-21,2:00:00,8,3,0,12,31,11,21,25,25,10,3,10,12,2,0,26,9,17,21,20,15,0,26,41,0,27,3,3,0,3,38,28
94461,30-Sep-21,2:10:00,4,2,2,10,27,8,13,20,36,15,10,22,4,4,0,39,7,5,24,31,20,0,9,39,0,32,8,8,0,1,34,27
94471,30-Sep-21,2:20:00,4,2,0,15,29,7,12,15,26,4,6,20,12,3,0,30,6,11,22,20,26,0,15,43,7,31,2,4,5,9,31,26
94481,30-Sep-21,2:30:00,3,1,0,4,31,9,5,13,29,12,14,19,7,0,0,49,9,8,14,35,18,0,9,35,0,19,0,6,0,8,33,39
94491,30-Sep-21,2:40:00,11,1,9,8,27,9,12,18,25,16,8,13,6,0,2,28,13,2,16,40,7,4,18,40,0,34,3,10,0,9,35,38
94501,30-Sep-21,2:50:00,9,2,0,10,29,6,20,10,26,4,12,14,16,0,2,38,13,7,30,38,12,0,20,33,0,28,8,6,0,20,28,33
94511,30-Sep-21,3:00:00,3,0,0,20,27,8,10,13,23,1,15,8,15,0,4,26,15,6,24,31,22,0,22,40,0,27,2,3,0,6,24,33
