track,original_slice,T_frame,X_pixel,Y_pixel,Z_slice,T_s,X_microns,Y_microns,Z_microns,speed,velocity,speed_2D
3.0,1009.0,37.0,130.0,96.0,10.0,231.98999999999998,14.17,10.464,15.0,0.12169059011164274,0.12169059011164274,0.12169059011164274
3.0,1036.0,38.0,158.0,70.0,10.0,238.26,17.222,7.63,15.0,0.6642558456220626,0.6642558456220626,0.6642558456220626
5.0,334.0,12.0,6.0,189.0,10.0,75.24,0.654,20.601,15.0,3.355903931361619,-3.355903931361619,3.355903931361619
5.0,361.0,13.0,63.0,154.0,10.0,81.50999999999999,6.867,16.786,15.0,1.1628051511277702,1.1628051511277702,1.1628051511277702
5.0,388.0,14.0,68.0,152.0,10.0,87.78,7.412,16.568,15.0,0.09361769760409265,0.09361769760409265,0.09361769760409265
5.0,415.0,15.0,77.0,150.0,10.0,94.05,8.393,16.35,15.0,0.16027597222407106,0.16027597222407106,0.16027597222407106
5.0,468.0,17.0,131.0,94.0,9.0,106.58999999999999,14.279,10.246,13.5,1.3734068209183916,1.3734068209183916,1.352410135200423
5.0,496.0,18.0,133.0,101.0,10.0,112.85999999999999,14.497,11.009,15.0,0.27064845641063945,-0.27064845641063945,0.12656012407202175
5.0,523.0,19.0,152.0,80.0,10.0,119.13,16.568,8.72,15.0,0.4923184836290867,0.4923184836290867,0.4923184836290867
5.0,550.0,20.0,170.0,56.0,10.0,125.39999999999999,18.53,6.104,15.0,0.521531100478469,0.521531100478469,0.521531100478469
5.0,577.0,21.0,178.0,50.0,10.0,131.67,19.402,5.45,15.0,0.17384370015948963,0.17384370015948963,0.17384370015948963
5.0,604.0,22.0,178.0,50.0,10.0,137.94,19.402,5.45,15.0,0.0,0.0,0.0
6.0,170.0,6.0,107.0,141.0,8.0,37.62,11.663,15.369,12.0,2.062779269381975,-2.062779269381975,2.006520826301758
6.0,198.0,7.0,127.0,132.0,9.0,43.89,13.843,14.388,13.5,0.45011017793632685,0.45011017793632685,0.38126899995873725
6.0,225.0,8.0,125.0,127.0,9.0,50.16,13.625,13.843,13.5,0.09361769760409265,0.09361769760409265,0.09361769760409265
6.0,170.0,6.0,107.0,139.0,8.0,37.62,11.663,15.151,12.0,0.44572453388926586,-0.44572453388926586,0.3760814249048563
6.0,171.0,6.0,113.0,135.0,9.0,37.62,12.317,14.715,13.5,0.27008956039915794,0.27008956039915794,0.12536047496828542
6.0,198.0,7.0,124.0,125.0,9.0,43.89,13.516,13.625,13.5,0.25843723978591976,0.25843723978591976,0.25843723978591976
6.0,225.0,8.0,130.0,111.0,9.0,50.16,14.17,12.099,13.5,0.26479083525970204,0.26479083525970204,0.26479083525970204
