,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
22499,26-Mar-19,4:50:00,0,0,0,10,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,11,0
22509,26-Mar-19,5:00:00,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,2,0,0,0,0,4,0
22519,26-Mar-19,5:10:00,0,0,0,0,1,31,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
22529,26-Mar-19,5:20:00,0,2,0,7,1,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
22539,26-Mar-19,5:30:00,0,1,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
22549,26-Mar-19,5:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
22559,26-Mar-19,5:50:00,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
22569,26-Mar-19,6:00:00,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,2,0
22579,26-Mar-19,6:10:00,0,0,0,3,0,24,1,0,0,0,0,0,0,4,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0
22589,26-Mar-19,6:20:00,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,0,0,10,1,0,0,0,0,8,0,0,0,5,0
22599,26-Mar-19,6:30:00,0,24,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
22609,26-Mar-19,6:40:00,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,6,0,0,0,0
22619,26-Mar-19,6:50:00,0,1,0,0,0,16,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0
22629,26-Mar-19,7:00:00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
22639,26-Mar-19,7:10:00,0,1,0,11,0,3,0,0,11,0,0,0,0,0,0,0,10,4,0,0,11,0,0,0,0,0,0,0,2,0,7,0
22649,26-Mar-19,7:20:00,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0
22659,26-Mar-19,7:30:00,0,13,0,11,0,21,0,0,0,2,0,0,0,4,0,0,0,4,0,0,5,0,0,0,14,0,0,0,0,0,2,0
22669,26-Mar-19,7:40:00,0,0,2,3,0,6,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0
22679,26-Mar-19,7:50:00,0,0,0,0,0,22,13,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,26,0
22689,26-Mar-19,8:00:00,0,1,0,0,0,12,0,0,0,0,0,0,2,8,0,0,9,0,0,0,4,0,2,0,0,0,0,5,0,0,3,0
22699,26-Mar-19,8:10:00,0,0,0,0,0,25,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,15,0
22709,26-Mar-19,8:20:00,0,2,0,0,0,7,0,0,6,0,0,0,0,10,2,0,0,11,0,0,4,0,0,0,0,0,0,0,4,1,0,0
22719,26-Mar-19,8:30:00,0,6,0,0,0,0,0,0,17,0,0,0,0,3,11,0,0,14,0,0,0,0,0,0,0,0,0,0,6,3,0,0
22729,26-Mar-19,8:40:00,0,0,0,0,9,0,0,0,5,4,0,0,0,0,16,0,0,12,0,0,0,2,0,0,0,0,7,0,0,2,0,0
22739,26-Mar-19,8:50:00,0,0,0,0,8,0,4,1,27,0,0,0,0,0,0,0,7,0,0,0,1,4,0,3,0,2,9,0,0,0,27,0
22749,26-Mar-19,9:00:00,0,4,0,8,4,0,11,0,0,0,0,0,3,12,0,0,8,26,0,0,7,6,0,6,0,3,0,2,2,0,37,0
22759,26-Mar-19,9:10:00,0,3,0,2,6,11,16,0,4,5,0,0,0,30,25,0,25,28,0,0,5,0,0,3,0,0,12,2,11,0,1,0
22769,26-Mar-19,9:20:00,0,3,0,4,0,18,0,0,13,0,3,0,3,6,19,0,19,16,0,0,9,1,7,5,0,0,4,5,0,3,1,0
22779,26-Mar-19,9:30:00,2,1,1,14,10,23,0,3,13,0,6,0,1,2,0,9,22,22,0,0,4,22,10,10,10,0,19,2,5,0,0,2
22789,26-Mar-19,9:40:00,0,0,0,4,4,26,14,0,0,4,35,0,3,16,25,0,17,7,0,0,12,5,11,10,19,6,0,6,1,0,20,0
22799,26-Mar-19,9:50:00,0,0,14,0,0,14,4,2,14,0,2,0,5,12,21,0,19,18,0,1,11,5,4,7,5,0,12,0,13,0,18,0
22809,26-Mar-19,10:00:00,0,13,9,0,5,21,23,2,15,0,0,0,0,5,10,2,14,18,0,12,10,23,13,18,8,5,25,0,13,13,3,18
22819,26-Mar-19,10:10:00,2,8,4,2,0,11,17,9,16,0,4,0,2,9,6,5,12,14,0,25,7,1,1,7,6,2,28,2,8,4,0,20
22829,26-Mar-19,10:20:00,0,6,0,2,1,5,12,7,0,0,4,0,4,0,13,16,29,16,0,16,7,10,3,11,6,0,27,0,12,0,0,26
22839,26-Mar-19,10:30:00,0,21,0,9,0,2,12,3,0,0,0,0,0,0,15,3,13,8,0,5,14,0,4,6,9,0,12,0,2,0,0,22
22849,26-Mar-19,10:40:00,0,0,0,3,0,0,15,0,0,0,0,0,2,0,0,1,30,9,0,0,16,3,2,7,7,0,10,0,0,4,0,14
22859,26-Mar-19,10:50:00,0,6,0,1,0,0,2,0,0,0,2,0,0,0,0,0,15,3,0,0,8,0,0,8,3,0,22,0,2,5,0,6
22869,26-Mar-19,11:00:00,0,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,2,8,0,2,0,0,0,0,0
22879,26-Mar-19,11:10:00,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,3,0,0,0,0,0,0,0,9
22889,26-Mar-19,11:20:00,0,1,0,0,0,0,14,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2
22899,26-Mar-19,11:30:00,0,6,0,2,0,3,13,0,0,0,0,0,0,0,0,0,9,0,0,0,9,3,0,0,2,0,0,0,0,0,0,0
22909,26-Mar-19,11:40:00,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,3,0,0,0,0,0,0,0
22919,26-Mar-19,11:50:00,0,1,0,0,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
